,space,approx
1.1,6.0,6.553352529755548
1.2000000000000002,7.0,4.416309628351072
1.3,8.0,3.36528415492572
1.4,9.0,2.731349540212732
1.5,9.0,2.320467399453544
1.6,10.0,2.0414147670188525
1.7000000000000002,11.0,1.8322566538609248
1.8,11.0,1.6878942176756724
1.9,12.0,1.568072227852811
2.0,12.0,1.486422279314778
3.0,18.0,1.146138350393441
4.0,25.0,1.0698642815395254
5.0,31.0,1.0391670361457168
6.0,37.0,1.0248337778305694
7.0,44.0,1.0172589559823653
8.0,49.0,1.0139484922122852
9.0,60.0,1.0083621378580123
10.0,62.0,1.008291701726768
11.0,70.0,1.0062476255598152
12.0,81.0,1.004151754697158
13.0,83.0,1.0040993261085798
14.0,99.0,1.0028832220818864
15.0,101.0,1.0028424915322962
16.0,,
17.0,,
18.0,,
19.0,,
20.0,,
21.0,,
22.0,,
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
