,space,approx
1.1,2.0,5.490901661152537
1.2000000000000002,2.0,5.490901661152537
1.3,2.0,5.490901661152537
1.4,3.0,6.070867471027742
1.5,3.0,3.476432265561153
1.6,4.0,3.3195301762444323
1.7000000000000002,4.0,7.905435973791167
1.8,4.0,9.876540667526909
1.9,4.0,11.41372600846553
2.0,4.0,12.804243806188945
3.0,7.0,1.907621151743722
4.0,8.0,1.1719027371500654
5.0,11.0,1.0554499448631582
6.0,13.0,1.0233017262169648
7.0,15.0,1.0105673993339128
8.0,16.0,1.0050848565495931
9.0,19.0,1.0014406433069951
10.0,21.0,1.0001711486942182
11.0,23.0,0.99976255517194
12.0,24.0,0.99947192577527
13.0,26.0,0.9991749483020964
14.0,28.0,0.9993787602142176
15.0,30.0,0.9988710059291408
16.0,31.0,0.9990143268084178
17.0,34.0,0.998811017694706
18.0,35.0,0.9990013365428256
19.0,36.0,0.999121371214124
20.0,38.0,0.9991242461606604
21.0,42.0,0.9990964666759308
22.0,44.0,0.999140449148422
23.0,45.0,0.9991022012692808
24.0,46.0,0.9991475535297298
25.0,47.0,0.999206894346186
26.0,49.0,0.9992210755846072
27.0,50.0,0.9992780437438924
28.0,55.0,0.9992879236190182
29.0,57.0,0.999388951885949
30.0,59.0,0.9994229397010742
31.0,60.0,0.999450916288124
32.0,61.0,0.99945684933206
33.0,63.0,0.9994992087390436
34.0,65.0,0.9995168107395156
35.0,66.0,0.9995445662650938
36.0,67.0,0.9995648027086927
37.0,69.0,0.999585394042228
38.0,71.0,0.999603448449433
39.0,71.0,0.9996278022464736
40.0,73.0,0.9996299304424796
41.0,75.0,0.9996322440049014
42.0,78.0,0.9996184817647856
43.0,81.0,0.9996212890099316
44.0,82.0,0.9996191802159928
45.0,84.0,0.9996246208621662
46.0,87.0,0.999618631796914
47.0,89.0,0.9996334396737622
48.0,91.0,0.999633315917612
49.0,93.0,0.9996403721205072
50.0,95.0,0.9996479572600278
51.0,97.0,0.9996519461796004
52.0,98.0,0.9996619429409452
53.0,100.0,0.9996710018584888
54.0,102.0,0.9996773355082664
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
