,space,approx
1.1,5,7.8085302201047995
1.2000000000000002,6,4.765007925367085
1.3,7,3.495468795863659
1.4000000000000001,8,2.7465394014203603
1.5,8,2.2938185692492525
1.6,8,2.0076206083854244
1.7000000000000002,9,1.7938245017340528
1.8,10,1.6517519202555195
1.9,10,1.5360049802651667
2.0,10,1.4571683082116762
3.0,15,1.1375931377414152
4.0,20,1.0662608602013817
5.0,24,1.0374528960470928
6.0,29,1.023825827347562
7.0,34,1.0166594156028845
8.0,37,1.0134924145384239
9.0,45,1.0081358777937472
10.0,47,1.0080696676289564
11.0,53,1.0061095987199085
12.0,60,1.0040653843837402
13.0,62,1.0040244875896784
14.0,73,1.002846125495828
15.0,75,1.0028130845936143
16.0,76,1.0027914731960954
17.0,79,1.0027794376176686
18.0,95,1.0014023698946486
19.0,97,1.001359350965673
20.0,98,1.0013370468952707
21.0,100,1.001319018374617
22.0,102,1.0013074220579794
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
