,space,approx
1.1,2.0,5.477486127065525
1.2000000000000002,2.0,5.477486127065525
1.3,2.0,5.477486127065525
1.4,4.0,4.961213912864806
1.5,4.0,3.3283823340812546
1.6,4.0,2.693942495652788
1.7000000000000002,4.0,2.4786375042233453
1.8,4.0,2.239515800610439
1.9,4.0,1.995944342505054
2.0,5.0,1.8104300795279589
3.0,7.0,1.1467927841354948
4.0,10.0,1.053068984017456
5.0,12.0,1.0232806189941472
6.0,14.0,1.0106260469065622
7.0,17.0,1.0051970023246255
8.0,19.0,1.00234927635638
9.0,22.0,0.9997880077684612
10.0,23.0,0.999949608894254
11.0,26.0,0.998855640260319
12.0,28.0,0.9987192969828304
13.0,30.0,0.9987348590956958
14.0,33.0,0.998876070521942
15.0,34.0,0.9988788256863542
16.0,36.0,0.9988496489596354
17.0,38.0,0.998894155652066
18.0,40.0,0.9989515530490346
19.0,41.0,0.9989721213759856
20.0,43.0,0.9989581054143096
21.0,46.0,0.9989448943077408
22.0,49.0,0.9989155995851744
23.0,51.0,0.9988704314038294
24.0,53.0,0.9989003788972812
25.0,55.0,0.9989554609808295
26.0,58.0,0.998969648103595
27.0,59.0,0.9990204921671236
28.0,62.0,0.9990974966185736
29.0,64.0,0.999215552029316
30.0,66.0,0.9992350852738852
31.0,67.0,0.9992399777396684
32.0,69.0,0.9992490932547292
33.0,71.0,0.9992533017147842
34.0,73.0,0.999266123154555
35.0,74.0,0.9992791815289184
36.0,76.0,0.999288751577212
37.0,77.0,0.9993135555933472
38.0,80.0,0.9993306871618208
39.0,81.0,0.9993510868524482
40.0,83.0,0.9993675475408113
41.0,84.0,0.9993886075190022
42.0,86.0,0.9994064852733155
43.0,88.0,0.9994233789384774
44.0,89.0,0.9994391660831776
45.0,90.0,0.9994571962109738
46.0,93.0,0.999471555550336
47.0,94.0,0.9994879638768044
48.0,95.0,0.999505511596784
49.0,97.0,0.9995177348000002
50.0,99.0,0.999531165332575
51.0,100.0,0.9995487224125252
52.0,102.0,0.9995624006615388
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
