,space,approx
1.1,2.0,17.182553862436173
1.2000000000000002,3.0,14.833620451261408
1.3,4.0,22.46621612352701
1.4,4.0,139.90631781792655
1.5,4.0,229.70107480609025
1.6,4.0,165.5299292818011
1.7000000000000002,5.0,93.55767996297108
1.8,6.0,53.02506331235292
1.9,6.0,31.008710131535203
2.0,6.0,21.07528673363828
3.0,9.0,2.496331767410366
4.0,12.0,1.274427282019522
5.0,15.0,1.083907186247684
6.0,18.0,1.0326722714953824
7.0,21.0,1.0166445322660858
8.0,24.0,1.010145270486487
9.0,28.0,1.0044752435238833
10.0,31.0,1.0028109010312465
11.0,33.0,1.0015490550307444
12.0,36.0,1.0011145119178964
13.0,38.0,1.0004905388258425
14.0,41.0,1.0002956643752063
15.0,43.0,0.9998966108676616
16.0,46.0,0.9997924210276252
17.0,50.0,0.9996714151096808
18.0,52.0,0.9996216369440284
19.0,53.0,0.9995657852502258
20.0,56.0,0.9995307899646588
21.0,61.0,0.9991823216944788
22.0,64.0,0.9992353450311052
23.0,65.0,0.9993141337362952
24.0,68.0,0.9994072009851168
25.0,70.0,0.999403228528888
26.0,73.0,0.9994022951560058
27.0,74.0,0.9993952948679706
28.0,79.0,0.9992159815699416
29.0,82.0,0.9992449288549656
30.0,85.0,0.99927230227993
31.0,86.0,0.9992999351906974
32.0,89.0,0.9993302518964092
33.0,92.0,0.9993657191063532
34.0,95.0,0.9993955160728328
35.0,96.0,0.9994274804799962
36.0,99.0,0.9994733887242836
37.0,102.0,0.9995282863845404
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
