,space,approx
1.1,2,1.3261142371468335
1.2000000000000002,2,1.3261142371468335
1.3,2,1.3261142371468335
1.4,2,1.3261142371468335
1.5,2,1.3261142371468335
1.6,2,1.3261142371468335
1.7000000000000002,2,1.3261142371468335
1.8,2,1.3261142371468335
1.9,2,1.3261142371468335
2.0,2,1.3261142371468335
3.0,4,1.0578615932070017
4.0,5,1.0178353850881166
5.0,6,1.0043762412863668
6.0,7,0.998679470510097
7.0,8,0.997311603061944
8.0,8,0.9966697499362304
9.0,10,0.9962888258823254
10.0,11,0.9964766894187967
11.0,12,0.9966155406266846
12.0,13,0.9967519944087624
13.0,14,0.9971611944847038
14.0,14,0.9972363590252976
15.0,16,0.9975427566371264
16.0,16,0.997667138421508
17.0,17,0.998110138000284
18.0,18,0.99822243661938
19.0,19,0.9984750092018332
20.0,20,0.9984980285665064
21.0,22,0.9988013965043806
22.0,23,0.998867719088218
23.0,23,0.9989854633233364
24.0,24,0.9990300960156135
25.0,24,0.999066502624215
26.0,25,0.9991768196905244
27.0,26,0.9991939692322908
28.0,28,0.9993867750652674
29.0,29,0.999421006953428
30.0,30,0.9994670329105472
31.0,31,0.9994936000167248
32.0,32,0.9995124986092052
33.0,33,0.9995531890390952
34.0,33,0.9995677752619964
35.0,34,0.9995845440716744
36.0,35,0.999594378347184
37.0,36,0.9996287089900792
38.0,36,0.9996378709338022
39.0,36,0.999641617914798
40.0,38,0.9996641201827005
41.0,39,0.9997120042828856
42.0,41,0.9997427820324484
43.0,42,0.99976932611075
44.0,43,0.9997894455408606
45.0,44,0.999801217073683
46.0,45,0.9998206025790208
47.0,46,0.9998299966563748
48.0,48,0.9998464829472984
49.0,48,0.999854453396586
50.0,49,0.9998617328420982
51.0,51,0.9998748455792243
52.0,51,0.9998811651001424
53.0,52,0.9998868925153698
54.0,53,0.99989344795224
55.0,54,0.9999012950091924
56.0,55,0.9999071077432776
57.0,56,0.9999126946990102
58.0,57,0.999916781982624
59.0,57,0.999919863181664
60.0,58,0.9999235559874282
61.0,59,0.9999284649489044
62.0,60,0.9999324620142126
63.0,61,0.9999348989395046
64.0,62,0.9999400418162666
65.0,62,0.9999421786965382
66.0,63,0.9999447500662324
67.0,64,0.9999466984311862
68.0,65,0.9999513806293708
69.0,65,0.999953079696268
70.0,66,0.9999551301939994
71.0,67,0.9999596133949714
72.0,67,0.9999599544314888
73.0,68,0.9999617242448368
74.0,69,0.9999630543613036
75.0,70,0.999967335132823
76.0,70,0.9999684679409232
77.0,71,0.9999698625955674
78.0,71,0.9999700766002092
79.0,72,0.99997397867685
80.0,73,0.9999751576529492
81.0,73,0.9999760214834412
82.0,74,0.9999761280875904
83.0,75,0.99998030390225
84.0,75,0.9999809956559712
85.0,76,0.9999818907897812
86.0,76,0.9999818907897812
87.0,76,0.9999825147006836
88.0,77,0.9999833459660964
89.0,77,0.9999839094475866
90.0,77,0.9999839094475866
91.0,78,0.9999846842399842
92.0,78,0.9999851937430726
93.0,78,0.9999851937430726
94.0,79,0.9999859185630215
95.0,79,0.9999863797076876
96.0,79,0.9999863797076876
97.0,80,0.999987060284886
98.0,80,0.999987477972112
99.0,80,0.999987477972112
