,space,approx
1.1,2,1.6942088952316912
1.2000000000000002,2,1.6942088952316912
1.3,2,1.6942088952316912
1.4,2,1.6942088952316912
1.5,2,1.6942088952316912
1.6,2,1.6942088952316912
1.7000000000000002,2,1.6942088952316912
1.8,3,1.8514999152089275
1.9,3,1.5945757293046354
2.0,3,1.3870603209672898
3.0,4,1.0688778239433272
4.0,6,1.023736811292496
5.0,7,1.0071247439763014
6.0,9,1.0013087549385755
7.0,10,1.0008894522250824
8.0,11,0.9987552418350958
9.0,13,0.9985407868138308
10.0,14,0.9996795998542276
11.0,15,0.9978345287602722
12.0,16,0.9982059177815684
13.0,18,0.9985274655782354
14.0,19,0.998486364073912
15.0,20,0.9985489527739732
16.0,21,0.9986181247518948
17.0,23,0.9988183055113756
18.0,23,0.9988178381469892
19.0,24,0.9988572524738594
20.0,25,0.9987657476447308
21.0,27,0.9988014402263802
22.0,29,0.9989831127983536
23.0,31,0.9990956321462386
24.0,32,0.9991580403657622
25.0,33,0.9992547716945618
26.0,34,0.9993284605307448
27.0,35,0.999357518121146
28.0,37,0.9994358207207836
29.0,37,0.9994673346739416
30.0,38,0.9995043607501596
31.0,39,0.9995368595836068
32.0,41,0.9995829009716526
33.0,41,0.9996026266253648
34.0,42,0.999623366911954
35.0,43,0.9996477407653428
36.0,44,0.999669764341663
37.0,45,0.9996979241132824
38.0,46,0.999719502735131
39.0,47,0.999736973981865
40.0,48,0.9997497425402008
41.0,49,0.9997785655944622
42.0,50,0.9997958974098006
43.0,51,0.999804583715481
44.0,52,0.9998168945616565
45.0,52,0.9998520810248392
46.0,53,0.9998599747114536
47.0,54,0.9998668782253536
48.0,54,0.9998692449841632
49.0,55,0.9998732789858554
50.0,56,0.9998819667581226
51.0,56,0.9998819667581226
52.0,56,0.999885595842942
53.0,56,0.999887537864019
54.0,57,0.9998927241415836
55.0,58,0.9998982579529068
56.0,58,0.9998998370316416
57.0,59,0.9999044333901635
58.0,59,0.999905973134781
59.0,60,0.9999108820495852
60.0,61,0.9999148510207708
61.0,61,0.999916227092944
62.0,62,0.999918832131279
63.0,62,0.9999220646765687
64.0,63,0.9999255040911224
65.0,63,0.9999267025671114
66.0,64,0.9999290032455316
67.0,64,0.9999320902333272
68.0,65,0.9999350824103728
69.0,65,0.9999371351979828
70.0,66,0.9999381609644904
71.0,67,0.9999428978116915
72.0,67,0.9999438051103448
73.0,67,0.9999456166609768
74.0,68,0.9999465025283588
75.0,69,0.9999510898924376
76.0,69,0.999951851182527
77.0,69,0.999953438850714
78.0,70,0.9999541866239428
79.0,71,0.999958761610628
80.0,71,0.9999593713239758
81.0,71,0.9999607408316132
82.0,72,0.9999613431974704
83.0,73,0.9999660552749772
84.0,73,0.9999664971013168
85.0,73,0.99996720163946
86.0,73,0.9999676415529616
87.0,74,0.9999691535529072
88.0,75,0.9999731100282072
89.0,75,0.9999739966134013
90.0,75,0.99997424058515
91.0,76,0.9999754639101311
92.0,77,0.999980052037912
93.0,77,0.9999806398082912
94.0,77,0.9999806398082912
95.0,78,0.9999815387899827
96.0,78,0.9999815387899827
97.0,78,0.9999820788271856
98.0,78,0.9999820788271856
99.0,79,0.9999829088242164
