,space,approx
1.1,2.0,5.195364298509912
1.2000000000000002,2.0,5.195364298509912
1.3,2.0,5.195364298509912
1.4,4.0,3.5829125825556005
1.5,4.0,3.786728386264625
1.6,4.0,7.274435885902725
1.7000000000000002,4.0,13.881215255542372
1.8,4.0,14.304734666626445
1.9,4.0,10.85169778077614
2.0,5.0,8.255733501505606
3.0,7.0,1.5235083007005703
4.0,10.0,1.0923728203473009
5.0,12.0,1.0277272994896056
6.0,14.0,1.011501968993729
7.0,17.0,1.0050226164880784
8.0,19.0,1.001813864993118
9.0,22.0,0.9997406573245524
10.0,23.0,0.9996686424641912
11.0,26.0,0.9986175108659514
12.0,28.0,0.9985379478224122
13.0,30.0,0.9985347007199568
14.0,33.0,0.9986364434619855
15.0,34.0,0.9986314813946447
16.0,36.0,0.998634658417163
17.0,38.0,0.9986807923179574
18.0,40.0,0.9987266664715432
19.0,41.0,0.9987705029691536
20.0,43.0,0.99880464817763
21.0,46.0,0.9987878668335208
22.0,49.0,0.9987528443255772
23.0,51.0,0.9987302507485156
24.0,53.0,0.99878569737333
25.0,55.0,0.9988444156958451
26.0,58.0,0.998862153206892
27.0,59.0,0.9989305739629246
28.0,62.0,0.9990141374638212
29.0,64.0,0.9991519387870352
30.0,66.0,0.9991633305414152
31.0,67.0,0.999174200738733
32.0,69.0,0.9991826508954078
33.0,71.0,0.9991961854502672
34.0,73.0,0.9992081239758398
35.0,74.0,0.999221780371178
36.0,76.0,0.999232211748923
37.0,77.0,0.9992628202555196
38.0,80.0,0.9992817953319778
39.0,81.0,0.9993014819806488
40.0,83.0,0.9993212446263128
41.0,84.0,0.9993463101591682
42.0,86.0,0.9993636854417394
43.0,88.0,0.9993822226165175
44.0,89.0,0.9993992244722232
45.0,90.0,0.9994204619551124
46.0,93.0,0.99943616802279
47.0,94.0,0.9994526720262786
48.0,95.0,0.9994720317542856
49.0,97.0,0.9994874905113164
50.0,99.0,0.9995010441610308
51.0,100.0,0.999519222505775
52.0,102.0,0.9995350919881528
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
