,space,approx
1.1,2.0,2.959924774054194
1.2000000000000002,4.0,2.626071992410582
1.3,4.0,1.8289330437658815
1.4,4.0,1.693404716751875
1.5,4.0,1.5775893930889768
1.6,5.0,1.466154887485628
1.7000000000000002,6.0,1.2802983161212362
1.8,6.0,1.211849107308978
1.9,6.0,1.212448690799946
2.0,7.0,1.1563437035938615
3.0,9.0,1.0394645635093644
4.0,13.0,1.0172837780993655
5.0,15.0,1.006786457307534
6.0,18.0,1.0032912713943545
7.0,20.0,1.001563415200863
8.0,23.0,1.0005645531420249
9.0,26.0,0.9992209301518442
10.0,28.0,0.998933134737682
11.0,28.0,0.9988934708215268
12.0,31.0,0.9988030957378567
13.0,34.0,0.999049601510732
14.0,36.0,0.9989552264412632
15.0,36.0,0.9989771173314924
16.0,39.0,0.9989481175209736
17.0,41.0,0.999000401449578
18.0,43.0,0.99895863788386
19.0,43.0,0.9989887798765964
20.0,46.0,0.9989805709845988
21.0,48.0,0.9990211181946844
22.0,50.0,0.9990024043920708
23.0,50.0,0.9990330290476752
24.0,53.0,0.9990556198254728
25.0,55.0,0.9991187162776386
26.0,57.0,0.9991381098556548
27.0,57.0,0.9991892049577958
28.0,60.0,0.9992323556427872
29.0,62.0,0.999330796790172
30.0,64.0,0.9993168382168606
31.0,64.0,0.9993257463252124
32.0,66.0,0.9993340267129333
33.0,68.0,0.9993572062781848
34.0,70.0,0.9993639873252712
35.0,70.0,0.9993845797972168
36.0,72.0,0.999394365475098
37.0,74.0,0.9994128792984036
38.0,76.0,0.9994189766463633
39.0,76.0,0.9994359038575168
40.0,78.0,0.9994438187882162
41.0,80.0,0.9994595230742856
42.0,82.0,0.9994652869489562
43.0,82.0,0.9994796302841356
44.0,84.0,0.9994873059184544
45.0,86.0,0.9995004387531664
46.0,88.0,0.9995059828706948
47.0,88.0,0.9995186733925164
48.0,90.0,0.9995260311512378
49.0,92.0,0.9995379487094038
50.0,94.0,0.9995435545614824
51.0,94.0,0.99955516440336
52.0,96.0,0.9995629328448036
53.0,98.0,0.9995738912109364
54.0,100.0,0.9995798351789992
55.0,100.0,0.9995912961169648
56.0,102.0,0.99960033608901
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
