,space,approx
1.1,4.0,57.51229177010047
1.2000000000000002,4.0,630.709863052099
1.3,4.0,599.6132608520315
1.4,5.0,143.3719921547326
1.5,6.0,37.412161097900274
1.6,6.0,19.85618336360807
1.7000000000000002,6.0,11.551808516850482
1.8,7.0,6.146268975899296
1.9,8.0,3.8610333122402034
2.0,8.0,2.989359955746065
3.0,12.0,1.1490350261629283
4.0,16.0,1.0423188095810394
5.0,20.0,1.0192136869460362
6.0,23.0,1.0111133338326144
7.0,26.0,1.005889904317805
8.0,30.0,1.0040203400559966
9.0,35.0,1.0019322732662288
10.0,38.0,1.0008331631429204
11.0,38.0,1.0005788343752604
12.0,42.0,1.0002847390469862
13.0,46.0,1.000268957668595
14.0,49.0,0.9998601352102032
15.0,49.0,0.9998435928578712
16.0,53.0,0.9997466836494572
17.0,57.0,0.9999899393154968
18.0,60.0,0.9998019148505058
19.0,60.0,0.999799226619531
20.0,64.0,0.9997297924267472
21.0,67.0,0.9997426708385764
22.0,70.0,0.9996444031556126
23.0,70.0,0.9996635967000052
24.0,74.0,0.999626693291061
25.0,77.0,0.9996409557492808
26.0,80.0,0.999579872174648
27.0,80.0,0.9995960738623696
28.0,84.0,0.999593227328044
29.0,87.0,0.9996201400510512
30.0,90.0,0.9995943431105248
31.0,90.0,0.9996207185256096
32.0,94.0,0.999623698752712
33.0,97.0,0.999650362955578
34.0,100.0,0.999638360370372
35.0,100.0,0.9996651287710532
36.0,104.0,0.999682166635684
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
