,space,approx
1.1,5.0,3.7271156823014486
1.2000000000000002,6.0,2.353537451892894
1.3,7.0,1.868903214075732
1.4,8.0,1.616766139627852
1.5,8.0,1.493797205355086
1.6,9.0,1.3641716605188852
1.7000000000000002,10.0,1.2524235047929055
1.8,10.0,1.2045632476615329
1.9,11.0,1.1726865801921105
2.0,11.0,1.1373459941171795
3.0,16.0,1.046845315981711
4.0,22.0,1.0235169164515523
5.0,26.0,1.0135843347971647
6.0,29.0,1.008189236900732
7.0,35.0,1.0061261965411343
8.0,38.0,1.0044624515543277
9.0,40.0,1.0039149117751955
10.0,45.0,1.0031562602561148
11.0,53.0,1.002523982055534
12.0,58.0,1.0024044018732954
13.0,60.0,1.0019902161373562
14.0,62.0,1.0016679404866553
15.0,65.0,1.0015800033687157
16.0,66.0,1.0013708023318069
17.0,70.0,1.001196935269666
18.0,73.0,1.001153634512414
19.0,77.0,1.0010102588533236
20.0,83.0,1.0009009156884991
21.0,90.0,1.000805269350462
22.0,102.0,1.0007796941699645
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
