,space,approx
1.1,2.0,29.953628533979384
1.2000000000000002,3.0,29.43344931131244
1.3,4.0,38.23172777459825
1.4,4.0,206.3257236590997
1.5,4.0,311.257144596369
1.6,4.0,226.7942420070133
1.7000000000000002,5.0,128.71071933360645
1.8,6.0,69.14829901236861
1.9,6.0,38.13965987106492
2.0,6.0,25.11875181250178
3.0,9.0,2.6353275252058874
4.0,12.0,1.2883477006540325
5.0,15.0,1.0898041981305604
6.0,18.0,1.0356149267159185
7.0,21.0,1.019262346711986
8.0,24.0,1.0123061507750346
9.0,28.0,1.0050686398341444
10.0,31.0,1.0029684430829997
11.0,33.0,1.0017586824409264
12.0,36.0,1.0010859651060438
13.0,38.0,1.0011449565797752
14.0,41.0,1.000162943680564
15.0,43.0,1.0001286470731874
16.0,46.0,0.9999094749529864
17.0,50.0,0.999897203360846
18.0,52.0,0.9995713067047316
19.0,53.0,0.9996337629449712
20.0,56.0,0.9996476024532795
21.0,61.0,0.9994053342617192
22.0,64.0,0.9992524875155204
23.0,65.0,0.9993598202294206
24.0,68.0,0.9994913338233574
25.0,70.0,0.9995341180741482
26.0,73.0,0.9993867930953152
27.0,74.0,0.9994291330358852
28.0,79.0,0.9992904419460558
29.0,82.0,0.9993313314254706
30.0,85.0,0.9993200913758384
31.0,86.0,0.999346080676668
32.0,89.0,0.9993898278690144
33.0,92.0,0.9994336670192367
34.0,95.0,0.9994461654483024
35.0,96.0,0.9994643153597316
36.0,99.0,0.9995180982721442
37.0,102.0,0.9995777054014504
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
