,space,approx
1.1,2.0,27.736545082235324
1.2000000000000002,4.0,15.518159415454416
1.3,4.0,68.50273723340672
1.4,4.0,273.68055788932924
1.5,4.0,201.3202460933387
1.6,5.0,100.76401377575762
1.7000000000000002,6.0,51.30534933640585
1.8,6.0,27.74987173320778
1.9,6.0,17.330105992874543
2.0,6.0,13.4395489879771
3.0,10.0,1.80313154638412
4.0,14.0,1.133779003526588
5.0,17.0,1.0430040986940812
6.0,20.0,1.021051253277122
7.0,23.0,1.010950586392671
8.0,26.0,1.0067136297619697
9.0,31.0,1.0028366333003254
10.0,33.0,1.0020927363601484
11.0,36.0,1.0008681522116385
12.0,39.0,1.0004901692067845
13.0,42.0,1.0002414740600205
14.0,46.0,0.9995457329674784
15.0,47.0,0.9994630923757212
16.0,51.0,0.999493786839141
17.0,54.0,0.9997358897715504
18.0,57.0,0.999694174025898
19.0,58.0,0.9996375546430464
20.0,61.0,0.9995528458570418
21.0,65.0,0.9994517912072214
22.0,69.0,0.9993411385861544
23.0,71.0,0.9992574563388704
24.0,74.0,0.9992378862407892
25.0,77.0,0.999219133235118
26.0,81.0,0.999184805220868
27.0,82.0,0.9991956202665012
28.0,86.0,0.9992107108729236
29.0,89.0,0.9992309848150543
30.0,92.0,0.9992494032899089
31.0,93.0,0.9992683808903002
32.0,97.0,0.999291176147686
33.0,100.0,0.9993211355135084
34.0,103.0,0.9993458227134674
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
