,space,approx
1.1,2,17.13072099932635
1.2000000000000002,4,11.919717954847103
1.3,4,6.6173424867274715
1.4000000000000001,4,5.2907015798710635
1.5,4,4.537102315620007
1.6,5,3.6585711982293825
1.7000000000000002,6,2.7529811447961734
1.8,6,2.3148331008581926
1.9,6,2.065500385163404
2.0,6,1.978414619274935
3.0,10,1.1908455423723954
4.0,14,1.072350688687208
5.0,17,1.032349028317284
6.0,20,1.0171976136059866
7.0,23,1.009981722624733
8.0,26,1.0065431029697105
9.0,31,1.002662872828131
10.0,33,1.0019405247629578
11.0,36,1.0009673667524395
12.0,39,1.0005329878037736
13.0,42,1.0003192728022923
14.0,46,0.9997171249300739
15.0,47,0.9996334293031074
16.0,51,0.9996285419361491
17.0,54,0.9998228353943779
18.0,57,0.9997789687720445
19.0,58,0.9997329925831647
20.0,61,0.9996493061451699
21.0,65,0.999550878198934
22.0,69,0.9994280347736241
23.0,71,0.9993499153609813
24.0,74,0.999327064290257
25.0,77,0.9993031322387966
26.0,81,0.9992581952067962
27.0,82,0.9992707331395464
28.0,86,0.9992789424666002
29.0,89,0.9992960112272571
30.0,92,0.9993098794976553
31.0,93,0.9993270107749348
32.0,97,0.9993472217755139
33.0,100,0.9993712286853751
34.0,103,0.999393650280415
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
