,space,approx
1.1,2,1.6557122333003251
1.2000000000000002,2,1.6557122333003251
1.3,2,1.6557122333003251
1.4000000000000001,4,1.3868589240634364
1.5,4,1.2309337760537045
1.6,4,1.1737095178165855
1.7000000000000002,4,1.1726815357165696
1.8,4,1.1483818227887308
1.9,4,1.1375698940180208
2.0,5,1.0746786620734399
3.0,7,1.0192883791857252
4.0,9,0.9998127450122719
5.0,11,1.0003008843046792
6.0,12,0.9978612293668452
7.0,13,0.9962749925353285
8.0,15,0.9969100115458752
9.0,17,0.9967744664015104
10.0,19,0.9973798350318344
11.0,19,0.9974064638573572
12.0,20,0.9971818370827192
13.0,21,0.9973266448269076
14.0,23,0.9974266094023998
15.0,23,0.997651808754537
16.0,24,0.9977187391882624
17.0,25,0.9978992623947246
18.0,27,0.9979734715370845
19.0,27,0.9981331555237076
20.0,28,0.9981884960446752
21.0,29,0.9983282919448226
22.0,31,0.9984301254762684
23.0,31,0.9986028340874583
24.0,32,0.9985909286946335
25.0,33,0.9986490940303635
26.0,34,0.998736595084444
27.0,34,0.9987860044425159
28.0,35,0.998864714109421
29.0,36,0.9989091085240043
30.0,37,0.9989731807231315
31.0,37,0.9990112689566842
32.0,38,0.9990698300336899
33.0,39,0.999104774015551
34.0,40,0.9991553166466273
35.0,40,0.9991867486563313
36.0,41,0.9992345183442076
37.0,42,0.9992636111899084
38.0,43,0.9993053375374491
39.0,43,0.9993328280408754
40.0,44,0.999373339388008
41.0,45,0.9993990775769638
42.0,46,0.999435798437013
43.0,46,0.9994623103124863
44.0,47,0.999500725534098
45.0,48,0.9995262359071233
46.0,49,0.999563406743941
47.0,49,0.9996000317699011
48.0,50,0.9996480308561753
49.0,51,0.9996542088607066
50.0,51,0.9996676599953784
51.0,51,0.9996732624494596
52.0,52,0.9996860989469801
53.0,53,0.9996913944709508
54.0,53,0.9997028057951869
55.0,53,0.9997076580159895
56.0,54,0.9997185514517326
57.0,55,0.9997231938772682
58.0,55,0.9997331453756715
59.0,55,0.9997374164976738
60.0,56,0.9997470316953281
61.0,57,0.9997511536549758
62.0,57,0.9997598827527212
63.0,57,0.9997636865430369
64.0,58,0.9997721752440738
65.0,59,0.9997758919122871
66.0,59,0.9997837039025405
67.0,59,0.999787149134186
68.0,60,0.9997947618286455
69.0,61,0.99979819193823
70.0,61,0.9998014244375338
71.0,61,0.999808426077729
72.0,62,0.9998153255198673
73.0,63,0.9998185618230291
74.0,63,0.9998249794756338
75.0,63,0.9998280046198366
76.0,64,0.9998343454126132
77.0,65,0.9998374658522823
78.0,65,0.9998434038999288
79.0,65,0.9998463245296639
80.0,66,0.9998492789721585
81.0,67,0.9998553382776101
82.0,67,0.999860924442371
83.0,67,0.9998638196076496
84.0,68,0.9998694649815258
85.0,69,0.9998726488775243
86.0,69,0.9998780195025313
87.0,69,0.9998809989348615
88.0,70,0.9998865499192644
89.0,71,0.9998900424449958
90.0,71,0.9998953809259681
91.0,71,0.9998986478239532
92.0,72,0.9999044427094907
93.0,73,0.9999088357770725
94.0,73,0.9999145020359737
95.0,73,0.9999186890315949
96.0,74,0.999926156910139
97.0,75,0.9999367487546861
98.0,75,0.9999386802769424
99.0,75,0.9999386802769424
